split,model,pos_weight,mIoU,Dice,Precision,Recall,Boundary-IoU,FPS,loss
val,m2_lora_r16,10.0,0.7143349857,0.8333668643,0.7809016840,0.8933895878,0.8298665186,49.813337,0.7797057973
val,m2_loss_pos5,5.0,0.7175396238,0.8355436042,0.8030344756,0.8707959090,0.8321797306,48.719600,0.7068268299
val,m2_loss_pos20,20.0,0.7011535759,0.8243271928,0.7487639241,0.9168536286,0.8225758867,48.697126,0.8969087848
val,delta_pos5_minus_r16,,0.0032046381,0.0021767399,0.0221327917,-0.0225936788,0.0023132119,-1.093737,-0.0728789674
val,delta_pos20_minus_r16,,-0.0131814098,-0.0090396715,-0.0321377599,0.0234640408,-0.0072906319,-0.116211,0.1172029875
test,m2_lora_r16,10.0,0.7106529420,0.8308557797,0.7776282395,0.8919054300,0.8291333041,50.551171,0.7895462159
test,m2_loss_pos5,5.0,0.7131552565,0.8325634864,0.7990539124,0.8690066371,0.8314684331,48.355191,0.7116609730
test,m2_loss_pos20,20.0,0.6967699625,0.8212898364,0.7442617976,0.9161027032,0.8206759251,48.808804,0.9092487957
test,delta_pos5_minus_r16,,0.0025023146,0.0017077066,0.0214256729,-0.0228987930,0.0023351290,-2.195980,-0.0778852430
test,delta_pos20_minus_r16,,-0.0138829795,-0.0105659433,-0.0333664419,0.0241972732,-0.0084573790,-1.742367,0.1197025798
